Time [ms],Thrust [N],Torque [Nm]
0,0.00,-0.0004
1,0.00,-0.0005
90,-0.00,0.0000
187,-0.00,0.0002
284,-0.00,0.0001
381,-0.00,0.0001
478,-0.00,-0.0002
574,-0.00,0.0002
672,0.00,0.0003
769,0.00,0.0003
866,0.00,0.0001
963,0.00,0.0002
1060,0.00,0.0002
1157,0.00,0.0001
1254,0.00,0.0001
1351,-0.00,0.0000
1448,-0.00,0.0001
1545,-0.00,0.0001
1641,0.00,0.0002
1739,0.00,0.0003
1836,0.00,0.0002
1933,-0.00,0.0000
2030,-0.00,-0.0001
2127,-0.00,-0.0001
2224,0.00,0.0002
2321,-0.00,0.0001
2418,-0.00,0.0001
2515,0.00,0.0002
2612,-0.01,0.0001
2708,-0.01,-0.0003
2806,-0.00,-0.0001
2903,0.00,-0.0001
3000,0.00,0.0001
3097,-0.00,0.0001
3194,-0.00,0.0002
3291,-0.00,-0.0002
3387,-0.00,-0.0001
3485,-0.00,0.0001
3582,-0.00,-0.0002
3679,-0.00,0.0002
3775,0.00,0.0000
3873,0.00,0.0000
3970,-0.00,0.0003
4067,-0.00,0.0004
4164,0.00,-0.0002
4261,-0.00,-0.0002
