Time [ms],Thrust [N],Torque [Nm]
22881,-0.06,-0.0557
22978,-0.06,-0.0558
23074,-0.06,-0.0557
23171,-0.06,-0.0558
23269,-0.06,-0.0557
23365,-0.06,-0.0555
23462,-0.06,-0.0559
23559,-0.06,-0.0558
23657,-0.06,-0.0557
23753,-0.06,-0.0557
23850,-0.06,-0.0558
23948,-0.06,-0.0557
24044,-0.06,-0.0554
24141,-0.06,-0.0553
24238,-0.06,-0.0555
24336,-0.06,-0.0558
24432,-0.07,-0.0558
24529,-0.07,-0.0556
24626,-0.07,-0.0554
24723,-0.06,-0.0558
24820,-0.06,-0.0554
24917,-0.07,-0.0553
25015,-0.07,-0.0557
25111,-0.06,-0.0558
25208,-0.06,-0.0553
25305,-0.06,-0.0554
25402,-0.06,-0.0557
25499,-0.06,-0.0584
25596,-0.06,-0.1252
25693,-0.07,-0.1944
25790,-0.79,-0.1938
25887,-1.73,-0.2080
25984,-3.47,-0.1402
26081,-5.27,0.0367
26178,-5.38,0.1991
26275,-3.26,0.1388
26372,-0.74,-0.0449
26469,-0.15,-0.1094
26566,-0.25,-0.0770
26663,-0.42,-0.0506
26759,-0.47,-0.0472
26857,-0.48,-0.0513
26954,-0.48,-0.0655
27051,-0.50,-0.0609
27148,-0.56,-0.0534
27245,-0.60,-0.0564
27342,-0.63,-0.0679
27438,-0.71,-0.0612
27536,-0.77,-0.0560
27633,-0.79,-0.0543
27730,-0.81,-0.0532
27826,-0.82,-0.0524
27924,-0.83,-0.0520
28021,-0.84,-0.0514
28117,-0.84,-0.0512
28215,-0.85,-0.0511
28312,-0.85,-0.0510
28409,-0.85,-0.0507
28505,-0.85,-0.0509
28603,-0.85,-0.0509
28700,-0.85,-0.0510
28797,-0.85,-0.0510
28893,-0.85,-0.0511
28991,-0.85,-0.0524
29088,-0.86,-0.0557
29184,-0.88,-0.0563
29282,-0.90,-0.0581
29379,-0.93,-0.0680
29476,-1.02,-0.0703
29572,-1.22,-0.0711
29670,-1.41,-0.0707
29767,-1.62,-0.0675
29863,-1.82,-0.0631
29960,-1.99,-0.0610
30058,-2.06,-0.0599
30155,-2.10,-0.0592
30251,-2.12,-0.0585
30349,-2.14,-0.0579
30446,-2.14,-0.0576
30543,-2.15,-0.0573
30639,-2.15,-0.0575
30737,-2.16,-0.0584
30834,-2.16,-0.0625
30930,-2.17,-0.0641
31027,-2.20,-0.0675
31125,-2.27,-0.0687
31222,-2.36,-0.0656
31318,-2.48,-0.0639
31416,-2.56,-0.0626
31513,-2.63,-0.0618
31610,-2.67,-0.0611
31706,-2.70,-0.0610
31804,-2.73,-0.0609
31901,-2.75,-0.0606
31997,-2.77,-0.0612
32094,-2.78,-0.0607
32192,-2.78,-0.0610
32289,-2.78,-0.0615
32385,-2.79,-0.0629
32483,-2.80,-0.0621
32580,-2.82,-0.0649
32677,-2.85,-0.0660
32773,-2.92,-0.0652
32871,-2.99,-0.0643
32968,-3.05,-0.0634
33064,-3.10,-0.0628
33161,-3.14,-0.0628
33259,-3.16,-0.0630
33356,-3.17,-0.0627
33452,-3.19,-0.0632
33550,-3.21,-0.0655
33647,-3.26,-0.0667
33744,-3.32,-0.0679
33840,-3.41,-0.0666
33938,-3.49,-0.0651
34035,-3.54,-0.0647
34132,-3.59,-0.0680
34228,-3.62,-0.0728
34326,-3.70,-0.0706
34423,-3.85,-0.0681
34520,-3.98,-0.0670
34617,-4.08,-0.0673
34714,-4.15,-0.0710
34811,-4.20,-0.0727
34907,-4.27,-0.0706
35005,-4.37,-0.0691
35102,-4.47,-0.0686
35199,-4.50,-0.0683
35295,-4.52,-0.0680
35393,-4.53,-0.0681
35490,-4.52,-0.0696
35587,-4.53,-0.0726
35684,-4.58,-0.0741
35781,-4.65,-0.0724
35878,-4.75,-0.0711
35975,-4.81,-0.0703
36072,-4.86,-0.0705
36169,-4.88,-0.0741
36266,-4.89,-0.0759
36364,-4.95,-0.0747
36460,-5.02,-0.0731
36557,-5.11,-0.0727
36654,-5.17,-0.0726
36751,-5.23,-0.0724
36848,-5.24,-0.0718
36945,-5.24,-0.0718
37042,-5.25,-0.0713
37139,-5.26,-0.0714
37236,-5.27,-0.0720
37333,-5.27,-0.0722
37431,-5.27,-0.0721
37527,-5.27,-0.0721
37624,-5.27,-0.0745
37721,-5.26,-0.0790
37819,-5.29,-0.0801
37915,-5.36,-0.0784
38012,-5.47,-0.0771
38109,-5.53,-0.0764
38207,-5.57,-0.0760
38303,-5.63,-0.0772
38400,-5.67,-0.0847
38498,-5.75,-0.0854
38595,-5.93,-0.0808
38691,-6.07,-0.0793
38788,-6.13,-0.0793
38886,-6.17,-0.0789
38983,-6.18,-0.0790
39079,-6.19,-0.0791
39176,-6.20,-0.0819
39274,-6.20,-0.0889
39371,-6.25,-0.0853
39467,-6.41,-0.0818
39565,-6.55,-0.0812
39662,-6.62,-0.0813
39759,-6.65,-0.0813
39855,-6.67,-0.0812
39953,-6.67,-0.0822
40050,-6.68,-0.0849
40147,-6.72,-0.0853
40243,-6.79,-0.0879
40341,-6.87,-0.0854
40438,-6.94,-0.0840
40535,-6.98,-0.0856
40632,-6.99,-0.0867
40729,-7.02,-0.0921
40826,-7.08,-0.0892
40923,-7.21,-0.0866
41020,-7.30,-0.0866
41117,-7.33,-0.0922
41214,-7.35,-0.0945
41311,-7.42,-0.0922
41408,-7.67,-0.0895
41505,-7.72,-0.0892
41602,-7.73,-0.0893
41700,-7.73,-0.0888
41796,-7.74,-0.0898
41893,-7.74,-0.0986
41990,-7.77,-0.1037
42088,-7.93,-0.0971
42184,-8.09,-0.0951
42281,-8.15,-0.1011
42378,-8.18,-0.1077
42476,-8.30,-0.1007
42572,-8.51,-0.0987
42669,-8.61,-0.1023
42767,-8.65,-0.1150
42864,-8.70,-0.1102
42960,-9.15,-0.1108
43057,-9.25,-0.1204
43155,-9.46,-0.1130
43252,-9.67,-0.1101
43348,-9.74,-0.1129
43446,-9.78,-0.1191
43543,-9.90,-0.1182
43640,-10.10,-0.1134
43736,-10.21,-0.1131
43834,-10.24,-0.1171
43931,-10.26,-0.1221
44028,-10.35,-0.1203
44124,-10.58,-0.1173
44222,-10.71,-0.1166
44319,-10.78,-0.1164
44416,-10.83,-0.1202
44513,-10.92,-0.1289
44610,-11.10,-0.1228
44707,-11.28,-0.1201
44804,-11.34,-0.1235
44901,-11.36,-0.1339
44998,-11.51,-0.1281
45095,-11.76,-0.1246
45192,-11.89,-0.1246
45289,-11.96,-0.1281
45386,-11.98,-0.1379
45483,-12.08,-0.1316
45581,-12.31,-0.1314
45677,-12.43,-0.1415
45774,-12.50,-0.1371
45871,-12.79,-0.1400
45969,-13.04,-0.1471
46065,-13.48,-0.1405
46162,-13.71,-0.1420
46259,-13.80,-0.1484
46357,-13.98,-0.1452
46454,-14.19,-0.1436
46550,-14.26,-0.1434
46648,-14.36,-0.1468
46745,-14.45,-0.1594
46842,-14.64,-0.1538
46938,-15.02,-0.1518
47036,-15.24,-0.1616
47133,-15.38,-0.1620
47230,-15.67,-0.1560
47326,-15.93,-0.1608
47424,-15.99,-0.1681
47521,-16.05,-0.1623
47618,-16.51,-0.1678
47715,-16.66,-0.1740
47812,-17.07,-0.1685
47909,-17.36,-0.1682
48006,-17.40,-0.1782
48103,-17.52,-0.1743
48200,-17.80,-0.1724
48297,-17.95,-0.1710
48394,-18.01,-0.1706
48491,-18.04,-0.1645
48588,-18.06,-0.1433
48685,-17.92,-0.1484
48783,-17.46,-0.1584
48879,-17.15,-0.1633
48976,-17.07,-0.1747
49073,-17.08,-0.1700
49171,-17.55,-0.1659
49267,-17.58,-0.1651
49364,-17.60,-0.1666
49462,-17.60,-0.1679
49559,-17.64,-0.1644
49655,-17.66,-0.1656
49752,-17.61,-0.1654
49850,-17.58,-0.1655
49947,-17.56,-0.1658
50044,-17.53,-0.1659
50140,-17.51,-0.1658
50238,-17.49,-0.1654
50335,-17.49,-0.1652
50432,-17.52,-0.1653
50529,-17.54,-0.1670
50626,-17.57,-0.1677
50723,-17.57,-0.1676
50820,-17.56,-0.1682
50917,-17.56,-0.1682
51014,-17.59,-0.1679
51111,-17.61,-0.1683
51208,-17.64,-0.1686
51305,-17.65,-0.1695
51402,-17.65,-0.1725
51499,-17.68,-0.1740
51597,-17.75,-0.1717
51693,-17.84,-0.1772
51790,-17.95,-0.1747
51887,-18.15,-0.1733
51985,-18.30,-0.1702
52081,-18.35,-0.1713
52178,-18.33,-0.1781
52275,-18.41,-0.1750
52373,-18.48,-0.1734
52469,-18.48,-0.1732
52566,-18.50,-0.1736
52664,-18.51,-0.1735
52761,-18.50,-0.1735
52857,-18.51,-0.1737
52954,-18.51,-0.1741
53052,-18.50,-0.1749
53149,-18.50,-0.1748
53245,-18.50,-0.1751
53342,-18.49,-0.1759
53440,-18.50,-0.1768
53537,-18.52,-0.1763
53633,-18.51,-0.1760
53731,-18.49,-0.1762
53828,-18.47,-0.1765
53925,-18.49,-0.1761
54021,-18.48,-0.1762
54119,-18.48,-0.1764
54216,-18.46,-0.1767
54313,-18.45,-0.1768
54409,-18.46,-0.1764
54507,-18.44,-0.1760
54604,-18.44,-0.1763
54701,-18.45,-0.1770
54798,-18.46,-0.1771
54895,-18.46,-0.1769
54992,-18.48,-0.1772
55089,-18.49,-0.1774
55186,-18.49,-0.1884
55283,-18.48,-0.1998
55380,-19.07,-0.1901
55478,-19.37,-0.1869
55574,-19.45,-0.1871
55671,-19.49,-0.1876
55768,-19.49,-0.1869
55866,-19.48,-0.1862
55962,-19.49,-0.1859
56059,-19.48,-0.1865
56156,-19.49,-0.1878
56254,-19.50,-0.1937
56350,-19.53,-0.1946
56447,-19.71,-0.1919
56545,-19.98,-0.1987
56642,-20.13,-0.1969
56738,-20.35,-0.1961
56835,-20.48,-0.1962
56933,-20.52,-0.1959
57030,-20.51,-0.1960
57126,-20.50,-0.1963
57223,-20.49,-0.1968
57321,-20.49,-0.1972
57418,-20.51,-0.1990
57514,-20.54,-0.2064
57612,-20.64,-0.2086
57709,-20.88,-0.2062
57806,-21.06,-0.2038
57902,-21.21,-0.2036
58000,-21.28,-0.2028
58097,-21.29,-0.2024
58194,-21.29,-0.2018
58290,-21.29,-0.2012
58388,-21.31,-0.2068
58485,-21.34,-0.2162
58582,-21.66,-0.2133
58679,-21.90,-0.2092
58776,-22.00,-0.2079
58873,-22.03,-0.2082
58970,-22.05,-0.2155
59068,-22.10,-0.2198
59164,-22.37,-0.2147
59261,-22.63,-0.2135
59358,-22.70,-0.2138
59456,-22.72,-0.2151
59552,-22.75,-0.2177
59649,-22.79,-0.2276
59747,-22.85,-0.2248
59844,-23.15,-0.2198
59940,-23.47,-0.2184
60037,-23.60,-0.2180
60135,-23.61,-0.2181
60232,-23.60,-0.2178
60328,-23.59,-0.2175
60425,-23.58,-0.2177
60523,-23.58,-0.2178
60620,-23.57,-0.2180
60716,-23.59,-0.2183
60814,-23.60,-0.2181
60911,-23.60,-0.2175
61008,-23.60,-0.2171
61105,-23.61,-0.2192
61202,-23.62,-0.2180
61299,-23.63,-0.2208
61396,-23.63,-0.2273
61494,-23.67,-0.2276
61590,-24.11,-0.2280
61687,-24.33,-0.2254
61784,-24.39,-0.2266
61882,-24.47,-0.2280
61978,-24.52,-0.2276
62075,-24.52,-0.2279
62172,-24.50,-0.2350
62270,-24.55,-0.2421
62366,-24.86,-0.2350
62463,-25.29,-0.2327
62561,-25.38,-0.2325
62658,-25.43,-0.2321
62754,-25.52,-0.2325
62851,-25.60,-0.2340
62949,-25.64,-0.2344
63046,-25.65,-0.2336
63142,-25.70,-0.2342
63239,-25.74,-0.2373
63337,-25.75,-0.2450
63434,-25.93,-0.2420
63530,-26.08,-0.2402
63628,-26.09,-0.2401
63725,-26.10,-0.2413
