Time [ms],Thrust [N],Torque [Nm]
97290,-0.67,-0.0792
97388,-0.67,-0.0792
97485,-0.67,-0.0793
97581,-0.67,-0.0792
97679,-0.67,-0.0789
97776,-0.67,-0.0789
97873,-0.67,-0.0791
97969,-0.67,-0.0792
98067,-0.67,-0.0793
98164,-0.67,-0.0795
98260,-0.68,-0.0792
98358,-0.68,-0.0795
98455,-0.68,-0.0797
98552,-0.67,-0.0794
98648,-0.67,-0.0797
98746,-0.67,-0.0798
98843,-0.68,-0.0799
98939,-0.67,-0.0798
99036,-0.67,-0.0798
99134,-0.68,-0.0795
99231,-0.68,-0.0794
99327,-0.68,-0.0795
99425,-0.68,-0.0793
99522,-0.68,-0.0792
99618,-0.68,-0.0797
99715,-0.68,-0.0799
99813,-0.68,-0.0798
99910,-0.68,-0.0797
100006,-0.68,-0.0798
100103,-0.68,-0.0798
100201,-0.68,-0.0799
100298,-0.68,-0.0797
100394,-0.68,-0.0800
100492,-0.69,-0.0803
100589,-0.69,-0.0802
100685,-0.69,-0.0802
100782,-0.69,-0.0798
100880,-0.68,-0.0796
100977,-0.69,-0.0798
101073,-0.69,-0.0803
101170,-0.68,-0.0805
101268,-0.68,-0.0802
101364,-0.68,-0.0802
101461,-0.69,-0.0801
101559,-0.69,-0.0801
101656,-0.69,-0.0807
101752,-0.69,-0.0806
