Time [ms],Thrust [N],Torque [Nm]
0,-0.000,0.0005
2,-0.002,0.0004
73,0.002,0.0003
164,0.002,0.0002
256,0.000,0.0005
347,0.001,0.0004
440,-0.007,-0.0000
531,-0.007,0.0000
623,-0.002,0.0002
714,-0.001,0.0001
806,0.002,0.0001
897,0.003,0.0004
988,0.002,0.0004
1081,0.000,0.0002
1173,-0.001,-0.0001
1270,-0.004,0.0001
1367,-0.001,0.0002
1465,-0.002,0.0006
1562,-0.004,0.0005
1660,-0.003,-0.0001
1757,-0.005,0.0001
1855,-0.002,-0.0001
1952,-0.002,0.0002
2049,0.001,0.0002
2147,0.004,0.0002
2244,0.004,0.0003
2341,0.001,-0.0000
2438,-0.001,0.0002
2536,0.003,0.0005
2634,-0.001,0.0007
2731,-0.005,0.0006
2829,-0.001,0.0002
2926,-0.004,-0.0001
3023,-0.004,0.0001
3120,-0.001,0.0001
3218,-0.001,0.0002
3315,-0.004,0.0002
3412,-0.000,0.0004
3511,0.003,0.0006
3608,0.001,0.0001
3705,-0.002,0.0000
3802,-0.003,-0.0000
3900,-0.003,-0.0002
3997,-0.003,0.0000
4094,-0.003,0.0002
4191,-0.005,0.0004
4289,0.001,0.0003
4386,-0.000,0.0001
4484,0.003,0.0001
4582,0.009,0.0005
4679,0.005,0.0007
4776,0.003,0.0000
4873,0.001,-0.0000
4971,-0.000,0.0001
5068,0.003,0.0004
5165,0.003,0.0007
5263,-0.003,0.0003
5360,-0.004,0.0001
5458,-0.004,0.0000
5555,-0.004,-0.0000
5653,-0.003,0.0001
5750,-0.006,-0.0000
5847,-0.001,-0.0004
5945,0.003,0.0001
6042,0.000,0.0001
6139,-0.001,0.0003
6236,-0.001,0.0005
6334,-0.004,0.0000
6432,-0.004,-0.0002
6529,-0.000,-0.0001
6627,0.000,0.0003
6724,0.002,0.0001
6821,0.001,0.0004
6918,-0.000,0.0005
7016,-0.004,0.0003
7113,-0.005,-0.0000
7210,-0.000,0.0002
7308,-0.002,0.0003
7405,-0.002,0.0002
7503,-0.002,0.0005
7600,-0.006,0.0005
7698,-0.004,0.0004
7795,-0.004,0.0004
7892,-0.002,0.0003
7990,-0.000,0.0001
8087,-0.003,0.0004
8184,-0.000,0.0003
8281,-0.002,0.0000
8380,-0.001,0.0001
8477,0.002,0.0003
8574,0.005,0.0004
8671,0.001,0.0006
8769,-0.004,0.0004
8866,-0.002,0.0003
8963,-0.006,-0.0000
9061,-0.006,0.0002
9158,0.002,0.0004
9255,0.006,0.0005
9353,0.001,0.0004
9451,0.001,0.0002
9548,-0.003,0.0000
9645,-0.004,0.0001
9743,-0.004,0.0003
9840,-0.004,0.0003
9937,-0.003,0.0006
10034,0.000,0.0004
10132,0.003,0.0003
10229,-0.004,0.0002
10327,-0.006,0.0003
10425,-0.000,0.0007
10522,0.003,0.0005
10619,0.005,0.0005
10716,-0.000,0.0007
10814,-0.004,0.0005
10911,-0.004,0.0007
11008,-0.006,0.0001
11106,-0.000,0.0000
11203,-0.001,0.0001
11301,-0.002,0.0002
11398,-0.002,0.0003
11496,-0.001,0.0005
11593,-0.004,0.0002
11690,-0.003,0.0001
11788,-0.001,0.0003
11885,0.003,0.0001
11982,-0.000,0.0004
12079,-0.003,0.0005
12178,-0.005,0.0003
12275,-0.001,0.0004
12372,0.001,0.0000
12470,-0.002,-0.0004
12567,0.002,-0.0001
12664,0.002,0.0004
12761,0.002,0.0000
12859,-0.001,0.0006
12956,-0.002,0.0005
13053,-0.004,0.0005
13151,-0.001,0.0003
13249,0.001,0.0004
13346,0.001,0.0003
13443,0.002,0.0002
13541,0.002,0.0001
