Time [ms],Thrust [N],Torque [Nm]
0,-0.002,-0.0007
2,-0.002,-0.0003
32,0.001,-0.0003
123,0.000,-0.0004
215,-0.001,0.0000
306,-0.007,0.0001
399,-0.004,-0.0000
492,0.002,0.0000
589,0.002,0.0003
687,0.002,-0.0000
785,-0.000,-0.0004
882,-0.003,-0.0000
979,-0.004,-0.0002
1077,-0.001,0.0000
1174,-0.002,-0.0001
1271,-0.002,-0.0000
1368,0.002,0.0003
1467,0.000,0.0003
1564,-0.002,0.0002
1661,0.000,-0.0001
1759,0.001,-0.0001
1856,0.000,0.0002
1953,-0.001,-0.0001
2050,-0.000,-0.0003
2148,0.002,0.0001
2245,-0.001,0.0004
2343,-0.003,0.0000
2441,-0.004,-0.0004
