Time [ms],Thrust [N],Torque [Nm]
0,0.003,-0.0005
2,0.001,-0.0001
91,0.003,-0.0003
183,0.002,-0.0001
274,-0.002,-0.0001
366,-0.004,-0.0000
457,-0.003,0.0000
550,-0.000,-0.0002
641,-0.002,-0.0002
733,0.000,-0.0001
824,0.002,-0.0001
916,0.003,-0.0003
1007,-0.002,-0.0002
1100,-0.003,-0.0001
1191,0.002,0.0001
1282,0.002,0.0005
1374,0.003,0.0007
1465,0.004,0.0004
1562,0.002,-0.0001
1661,-0.001,-0.0004
1758,-0.000,-0.0003
1855,-0.001,-0.0001
1953,-0.001,-0.0002
2050,-0.002,-0.0002
2147,0.002,0.0002
2244,0.002,-0.0001
2342,0.000,-0.0002
2439,0.002,0.0001
2536,0.004,0.0003
2634,0.001,0.0003
2732,-0.002,-0.0003
2829,-0.002,-0.0005
2926,0.001,-0.0005
3024,0.004,-0.0004
3121,0.002,-0.0003
3218,-0.001,-0.0000
3315,0.000,-0.0005
3413,-0.001,-0.0008
3510,-0.003,-0.0004
3608,0.002,-0.0002
