Time [ms],Thrust [N],Torque [Nm]
0,-0.000,-0.0001
2,0.001,-0.0003
35,-0.003,-0.0003
127,-0.003,0.0000
219,0.001,0.0005
310,-0.001,0.0000
402,-0.002,-0.0004
493,-0.002,-0.0000
589,-0.000,0.0001
688,0.001,0.0000
785,0.002,-0.0001
882,0.002,-0.0001
980,0.000,0.0004
1077,0.004,0.0006
1174,0.000,-0.0000
1271,-0.004,-0.0004
1369,-0.007,-0.0002
1467,-0.008,-0.0001
1564,-0.004,-0.0000
1662,-0.003,0.0001
1759,-0.002,-0.0002
1856,0.000,-0.0000
1953,-0.003,0.0002
2051,-0.003,0.0001
2148,0.002,0.0002
2246,0.001,0.0000
2344,-0.000,0.0002
2441,-0.002,0.0006
2538,-0.004,0.0004
2635,0.001,0.0002
2733,0.003,0.0002
2830,-0.000,0.0003
2927,-0.001,0.0001
3024,-0.005,0.0000
3123,-0.002,0.0000
3220,0.001,-0.0001
3317,-0.000,0.0001
3415,-0.002,0.0001
3512,-0.003,0.0003
3609,-0.002,0.0001
3706,-0.001,-0.0002
3804,-0.003,-0.0002
3902,-0.007,-0.0002
3999,-0.003,-0.0000
4097,-0.001,0.0001
4194,-0.003,0.0002
4291,0.001,0.0005
4388,-0.001,0.0004
4486,-0.003,0.0003
4583,0.002,-0.0003
4681,0.002,-0.0000
4779,0.003,-0.0000
4876,0.002,-0.0000
4973,-0.006,0.0001
5070,-0.004,0.0001
5168,0.000,0.0000
5265,-0.003,0.0002
5362,-0.003,0.0003
5461,0.001,0.0003
5558,-0.003,0.0001
5655,-0.005,-0.0003
5752,-0.009,-0.0001
5850,-0.007,-0.0001
5947,0.001,-0.0002
6044,0.001,0.0000
6142,0.001,-0.0000
6239,0.000,0.0001
6337,0.003,0.0002
6434,0.002,0.0002
6532,-0.000,0.0001
6629,-0.000,-0.0002
6726,0.002,-0.0001
6824,0.001,-0.0002
6921,0.001,-0.0006
7018,0.002,-0.0002
7116,0.000,0.0000
7214,-0.003,-0.0001
7311,-0.001,-0.0001
7408,-0.001,0.0001
7506,-0.003,-0.0003
7603,-0.000,0.0000
7700,-0.001,0.0004
7797,0.002,0.0000
7896,0.001,-0.0002
7993,-0.001,-0.0004
8090,-0.002,-0.0000
8187,0.000,0.0001
8285,-0.000,-0.0001
8382,0.001,-0.0003
8479,0.001,0.0000
8577,-0.001,0.0004
8675,-0.005,0.0004
8772,-0.006,-0.0004
8869,-0.001,0.0001
8967,-0.000,0.0002
9064,-0.001,-0.0003
9161,-0.000,-0.0002
9259,-0.000,0.0001
9356,0.003,0.0004
9454,0.003,-0.0000
9551,0.005,-0.0001
9649,0.005,0.0001
9746,-0.001,0.0001
9843,-0.000,-0.0001
9941,-0.003,0.0004
10038,-0.006,0.0004
10135,-0.002,-0.0002
10233,-0.001,-0.0001
10331,-0.003,-0.0001
10428,-0.005,0.0004
10525,-0.003,0.0002
10623,-0.004,0.0002
10720,-0.002,0.0003
10817,0.002,0.0003
10914,-0.000,0.0003
11012,-0.002,0.0002
11110,-0.003,0.0002
11207,-0.000,0.0001
11305,-0.004,-0.0001
11402,0.005,-0.0001
