Time [ms],Thrust [N],Torque [Nm]
0,-0.001,0.0000
2,0.001,0.0002
6,0.003,0.0002
103,0.002,0.0000
200,0.002,-0.0002
297,0.003,-0.0001
394,-0.002,-0.0001
493,0.001,-0.0001
590,0.001,0.0000
687,-0.003,-0.0002
785,-0.003,-0.0002
882,-0.006,-0.0002
979,-0.004,-0.0002
1076,-0.001,0.0003
1174,-0.004,0.0003
1271,-0.001,0.0002
1368,0.002,0.0005
1466,-0.002,0.0002
1563,-0.003,-0.0002
1661,0.002,-0.0002
1758,0.008,-0.0002
1856,0.002,-0.0003
1953,-0.006,0.0001
2050,-0.004,-0.0001
2147,0.005,-0.0003
2245,0.006,0.0002
2342,0.005,0.0001
2439,0.001,-0.0003
2537,0.003,-0.0003
2634,0.003,-0.0002
2732,0.004,-0.0000
2829,0.001,-0.0001
2927,-0.003,0.0000
3024,0.001,0.0000
3121,0.003,0.0001
3219,0.005,0.0002
3316,0.002,0.0003
3413,-0.004,0.0000
3510,-0.006,-0.0000
3608,-0.003,-0.0001
3705,0.002,-0.0000
