# NOTES: test 12
Time [ms],Thrust [N],Torque [Nm]
0,-0.001,0.0002
2,-0.004,-0.0001
22,-0.001,-0.0006
113,-0.003,-0.0006
205,-0.005,-0.0003
297,-0.006,-0.0001
394,0.002,-0.0003
493,0.003,-0.0007
590,0.003,-0.0001
687,0.005,0.0000
784,0.003,-0.0001
882,0.002,-0.0000
979,-0.002,-0.0004
1076,-0.004,-0.0001
1174,0.002,-0.0002
1271,-0.002,-0.0001
1368,0.002,-0.0004
1466,-0.001,-0.0001
1564,-0.003,-0.0001
1661,0.001,-0.0001
