Time [ms],Thrust [N],Torque [Nm]
0,0.001,-0.0005
2,-0.001,0.0000
99,-0.001,-0.0004
196,0.002,-0.0003
293,-0.001,0.0000
391,0.000,0.0001
488,0.001,0.0001
585,0.002,-0.0001
683,-0.001,-0.0003
780,-0.002,-0.0002
877,-0.001,-0.0001
974,-0.000,-0.0003
1072,-0.001,-0.0001
1169,-0.001,-0.0001
1266,-0.005,-0.0006
1364,-0.001,-0.0006
1461,0.000,-0.0002
1558,-0.000,-0.0003
1655,-0.002,-0.0005
1753,0.000,-0.0003
1850,0.004,-0.0003
1947,0.005,-0.0004
2044,0.000,-0.0001
2142,0.000,-0.0005
2239,0.000,-0.0007
2336,0.001,-0.0004
2434,0.004,-0.0003
2531,0.001,-0.0002
2628,0.004,-0.0003
2725,0.006,-0.0003
2823,0.002,-0.0000
2920,-0.001,-0.0003
3017,0.001,-0.0002
3115,0.001,-0.0002
3212,0.001,-0.0002
3309,0.001,-0.0003
3406,0.005,-0.0001
3504,0.004,-0.0002
3601,0.004,-0.0004
3698,0.003,-0.0000
3796,-0.004,-0.0000
3893,0.000,-0.0005
3990,0.004,-0.0005
4087,0.004,-0.0001
4185,0.004,-0.0001
4282,0.002,-0.0004
4379,0.002,-0.0005
4476,0.003,-0.0003
4574,0.002,-0.0002
4671,0.004,0.0000
4768,0.002,-0.0002
4866,-0.000,-0.0003
4963,0.002,-0.0002
5060,0.005,-0.0000
5157,0.007,-0.0001
5255,0.005,-0.0002
5352,-0.003,-0.0000
5449,-0.004,-0.0001
5547,0.001,-0.0000
5644,0.002,-0.0001
5741,0.001,-0.0002
5838,0.004,-0.0002
5936,0.002,-0.0000
